"collection","files","gui","jdbc","reflection","servlet","socket","thread","user"
0.2,0.8,0.2,0.4,0,0,0.6,0.6,"USER4"
0.6,0.6,0.4,1,0,0,0,0.4,"USER11"
0.4,0,0,0.6,0,0.6,0.6,0.6,"USER9"
0.6,1,0.8,0.4,0,0.8,0,0.2,"USER15"
0.2,0.4,0.4,0,0,0.6,0,0.2,"USER23"
0.4,0.8,0.8,0.6,0,0.6,0,0.6,"USER12"
0.2,0.8,0.6,0,0,0.8,1,0.4,"USER3"
0,0.4,0,0,0,0,0.4,0,"USER13"
0.6,0.8,0.8,0.8,0,0.4,0.2,0.6,"USER37"
0.2,1,0.8,0.6,0.4,0.4,0.4,0.6,"USER25"
0.2,1,0.8,0.6,0,0.6,0.4,0.6,"USER45"
0.8,1,0.8,1,0.6,1,0.8,1,"USER50"
0.8,0.8,0.8,0.8,0,0.8,0.6,0.8,"USER35"
0.2,1,0.4,0.8,0,0.4,0.4,0.4,"USER1"
0.8,0.8,0.8,1,0.6,0.6,0.6,1,"USER42"
0.8,1,0.8,0.8,0,0.4,0,1,"USER8"
0.8,1,1,0.8,0,0.6,0.6,0.8,"USER36"
0.8,1,0.2,0.6,0,0.4,0.8,0.4,"USER31"
0.4,0.8,0.6,0.4,0,0.8,0,0.4,"USER21"
0,0,0.6,0,0,0,0,0.4,"USER16"
0.6,0.8,0.6,0,0,0,0.4,0.2,"USER28"
0.4,0.8,0.8,0.6,0,0.8,0.6,0.6,"USER46"
0.2,0.8,0.6,0.6,0.8,0.8,0.8,0.4,"USER20"
0.8,0.6,0.2,0.6,0,0.8,0,0.4,"USER6"
0.6,1,0.6,0.8,0,0,0,0.6,"USER17"
0.6,0.6,0.8,0.8,0,0.8,0.6,0.6,"USER34"
0.4,1,0.6,0.8,0,0.6,0.8,0.6,"USER10"
0.8,0.8,0.8,1,0,1,0.6,0.8,"USER40"
0.8,1,1,1,0.6,1,1,0.8,"USER48"
0.2,0.6,0,0.8,0,0.4,0.4,0.4,"USER32"
0.4,1,1,0.8,0.6,0.6,0.8,0.4,"USER27"
0.6,1,0.4,0.6,0,0.4,0.6,0.6,"USER44"
0.8,0.8,0.8,0.6,0,0.8,0.6,0.8,"USER26"
0.8,0.8,0,1,0.6,0.4,0.8,1,"USER43"
0.6,0.8,0.8,0.8,0,0.4,0.6,0.8,"USER5"
0.6,0.8,0.6,0.6,0.8,0.8,0.8,0.4,"USER19"
1,1,1,1,0,0.4,1,0.8,"USER38"
0.6,0.8,1,1,0.4,0.6,0.6,0.8,"USER41"
1,1,0.6,0.4,0,0.8,0.2,0.6,"USER47"
0.8,0.6,0.8,1,0,1,0.6,0.6,"USER39"
0,0.8,0,0.6,0,0,0,0.6,"USER14"
0,0.6,0.4,0.6,0.2,0,0.4,0.2,"USER18"
0.4,0.6,0.4,0.6,0.2,0.4,0.2,0.4,"USER22"
0,0,0.8,0.2,0,0.8,0.4,0.2,"USER2"
0,0.6,0,0,0,0,0.8,0.2,"USER7"
0.8,0.8,0.8,0.6,0.2,0.2,0.4,0.8,"USER33"
0.6,0.8,0.8,0.8,0,1,0.8,0.6,"USER29"
0.6,0.6,0.4,0.4,0.4,0.2,0.4,0.2,"USER24"
0.8,0.6,0.6,0.4,0.4,0,0.6,0.4,"USER30"
0.8,1,0.8,1,0.6,1,0.8,1,"USER49"
